year,link text,link url,topic,subtopic,question wording,answer 1 text,answer 1 value,answer 2 text,answer 2 value,Description,method
2023,Marquette Law School,"https://law.marquette.edu/poll/wp-content/uploads/2023/11/MLSPSC17Crosstabs_CourtItems.html#Marquette_Law_School_Supreme_Court_Poll_November_2-7,_2023",Public opinion of the Supreme Court as an institution,Supreme Court approval,"Overall, how much do you approve or disapprove of the way the US Supreme Court is handling its job?",Approve,40,Disapprove,60,"A November Marquette Law School Poll found that 40% of respondents approve of the job the Supreme Court is doing, while 60% disapprove.","Methodology: Conducted November 2-7, 2023. A total of 1,010 adults were interviewed by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is +/-4.2 percentage points for the full sample."
2023,Gallup,https://news.gallup.com/poll/511820/views-supreme-court-remain-near-record-lows.aspx,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the Supreme Court is handling its job?,Approve,41,Disapprove,58,"A September Gallup Poll found that 41% of respondents approve of the way the Supreme Court is handling its job, while 58% disapproved. By party: 23% of Democrats; 40% of Independents; and 56% of Republicans approved of the job the Supreme Court is doing.","Methodology: Results are based on telephone interviews conducted September 1-23, 2023, with a random sample of –1,016 —adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 80% cell phone respondents and 20% landline respondents, with additional minimum quotas by time zone within region."
2023,Annenberg Public Policy Center,https://www.annenbergpublicpolicycenter.org/wp-content/uploads/APPC_Con_Day_Topline_2023_final.pdf,Public opinion of the Supreme Court as an institution,Supreme Court approval,"Overall, how much do you approve or disapprove of the way the US Supreme Court is handling its job?",Approve,49,Disapprove,51,"An August Annenberg Public Policy Center Poll found that 49% of respondents approve of the way the Supreme Court is handling its job, while 51% disapprove.","Methodology:  Data collection was conducted from August 9-15, 2023, among a sample of 1,482 respondents in English (1,455) and Spanish (27). The web total respondents were 1,442 and there were 40 telephone respondents. Data were weighted to represent the target U.S. adult population."
2023,Pew Research Center,https://www.pewresearch.org/wp-content/uploads/sites/20/2023/04/PP_2023.04.07_100-days_TOPLINE.pdf,Public opinion of the Supreme Court as an institution,Supreme Court favorability,Do you have a favorable or unfavorable opinion of the Supreme Court?,Favorable,48,Unfavorable,50,"An April Pew Research Center Poll found that 48% of respondents have a favorable opinion of the Supreme Court, while 50% have an unfavorable opinion. By party: 31% of Democrats and 68% of Republicans have a favorable opinion.","Methodology: The American Trends Panel (ATP), created by Pew Research Center, is a nationally representative panel of randomly selected U.S. adults. Panelists participate via self-administered web surveys. Data in this report is drawn from ATP Wave 125, conducted from March 27 to April 2, 2023. A total of 5,079 panelists responded out of 5,782 who were sampled, for a response rate of 88%. The margin of sampling error for the full sample of 5,079 respondents is plus or minus 1.7 percentage points."
2023,NPR/PBS NewsHour/Marist,https://maristpoll.marist.edu/wp-content/uploads/2023/04/NPR_PBS-NewsHour_Marist-Poll_USA-NOS-and-TABLES_424_202304201559.pdf,Public opinion of the Supreme Court as an institution,Supreme Court confidence ,"Do you have a great deal of confidence, quite a lot, not very much confidence, or no confidence at all in the U.S. Supreme Court?",A great deal or quite a lot,37,Not very much or none at all,62,An April NPR/PBS NewsHour/Marist Poll found that 62% of respondents not very much confidence or no confidence at all in the U.S. Supreme Court.  ,"Methodology: This survey of 1,291 adults was conducted April 17th through April 19th, 2023 by the Marist Poll sponsored in partnership with NPR and PBS NewsHour. Adults 18 years of age and older residing in the United States were contacted through a multi-mode design: By phone using live interviewers, by text, or online."
2022,Marquette Law School,https://www.dropbox.com/s/nciwtsuebfetbn1/MLSPSC11Crosstabs_CourtItems.html?dl=1,Public opinion of the Supreme Court as an institution,Supreme Court approval,"Overall, how much do you approve or disapprove of the way the US Supreme Court is handling its job?",Approve,45,Disapprove,55,"A November 2022 Marquette Law School Poll found that 45% of respondents approve of the job the Supreme Court is doing, while 55% disapprove.","Methodology: Conducted November 15-22, 2022. A total of 1,004 adults were interviewed by SSRS of Glen Mills, PA, using the SSRS Opinion Panel, a representative probability-based panel of adults ages 18 and over living in the United States, recruited using the SSRS Omnibus poll and through address-based sampling (ABS). The margin of error is +/-3.7 percentage points for the full sample."
2022,Annenberg Public Policy Center,https://www.annenbergpublicpolicycenter.org/wp-content/uploads/Appendix_APPC_SCOTUS_Oct_2022.pdf,Public opinion of the Supreme Court as an institution,Supreme Court approval,"Overall, how much do you approve or disapprove of the way the US Supreme Court is handling its job?",Approve,39,Disapprove,53,"An October Annenberg Public Policy Center Poll found that 39% of respondents approve of the way the Supreme Court is handling its job, while 53% disapprove. By party: 21% of Democrats; 38% of Independents; and 68% of Republicans approve.","Methodology: The 2022 survey of 1,113 U.S. adults was conducted by phone for APPC by independent research company SSRS on August 2-13, 2022. It has a margin of error of ± 3.6 percentage points at the 95% confidence level."
2022,Pew Research Center,https://www.pewresearch.org/wp-content/uploads/sites/20/2022/08/PP_2022.09.01_SCOTUS-TOPLINE.pdf,Public opinion of the Supreme Court as an institution,Supreme Court favorability,Do you have a favorable or unfavorable opinion of the Supreme Court?,Favorable,48,Unfavorable,49,"An August Pew Research Center Poll found that 48% of respondents have a favorable opinion of the Supreme Court, while 49% have an unfavorable opinion. By party: 28% of Democrats and 73% of Republicans have a favorable opinion.","Methodology: The American Trends Panel (ATP), created by Pew Research Center, is a nationally representative panel of randomly selected U.S. adults. Panelists participate via self-administered web surveys. Data in this report is drawn from the panel wave conducted from Aug. 1 to Aug. 14. A total of 7,647 panelists responded out of 13,221 who were sampled, for a response rate of 65%. This included 6,025 respondents from the ATP and an oversample of 1,622 Hispanic respondents from Ipsos’ KnowledgePanel. The margin of sampling error for the full sample of 7,647 respondents is plus or minus 1.7 percentage points."
2022,Gallup,https://news.gallup.com/poll/394103/confidence-supreme-court-sinks-historic-low.aspx,Public opinion of the Supreme Court as an institution,Supreme Court confidence ,"Please tell me how much confidence you have in the Supreme Court -- a great deal, quite a lot, some, or very little? ",A great deal or quite a lot,25,Some or very little,73,A June Gallup Poll found that 25% of respondents had either a great deal or quite a lot of confidence in the Supreme Court. By party: 13% of Democrats; 25% of Independents; and 39% of Republicans had either “a great deal” or “quite a lot” of confidence in the Supreme Court.,"Methodology: Results are based on telephone interviews conducted June 1-20, 2022, with a random sample of –1,015—adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 75% cell phone respondents and 25% landline respondents, with additional minimum quotas by time zone within region."
2021,Gallup,https://news.gallup.com/poll/354908/approval-supreme-court-down-new-low.aspx,Public opinion of the Supreme Court as an institution,Supreme Court approval,Do you approve or disapprove of the way the Supreme Court is handling its job? ,Approve,40,Disapprove,53,"A September Gallup Poll found that 40% of respondents approve of the way the Supreme Court is handling its job, while 53% disapprove. By party: 36% of Democrats; 41% of Independents; and 45% of Republicans approve.","Methodology: Results are based on telephone interviews conducted September 1-17, 2021 with a random sample of –1,005 — adults, ages 18+, living in all 50 U.S. states and the District of Columbia. For results based on this sample of national adults, the margin of sampling error is ±4 percentage points at the 95% confidence level. Each sample of national adults includes a minimum quota of 70% cell phone respondents and 30% landline respondents, with additional minimum quotas by time zone within region."
